model,run,tag,step,value
LSTM,lstm-v2,train/loss,32100,2.9686803817749023
LSTM,lstm-v2,train/loss,32200,3.0801970958709717
LSTM,lstm-v2,train/loss,32300,3.196542739868164
LSTM,lstm-v2,train/loss,32400,3.0709633827209473
LSTM,lstm-v2,train/loss,32500,2.982632637023926
LSTM,lstm-v2,train/loss,32600,3.0433387756347656
LSTM,lstm-v2,train/loss,32700,2.9522929191589355
LSTM,lstm-v2,train/loss,32800,3.0311899185180664
LSTM,lstm-v2,train/loss,32900,3.0712203979492188
LSTM,lstm-v2,train/loss,33000,3.0819830894470215
LSTM,lstm-v2,train/loss,33100,2.9608042240142822
LSTM,lstm-v2,train/loss,33200,2.943228006362915
LSTM,lstm-v2,train/loss,33300,3.092698335647583
LSTM,lstm-v2,train/loss,33400,2.9348392486572266
LSTM,lstm-v2,train/loss,33500,2.955408811569214
LSTM,lstm-v2,train/loss,33600,2.907068967819214
LSTM,lstm-v2,train/loss,33700,2.9901084899902344
LSTM,lstm-v2,train/loss,33800,2.8566272258758545
LSTM,lstm-v2,train/loss,33900,3.000006675720215
LSTM,lstm-v2,train/loss,34000,2.7326500415802
LSTM,lstm-v2,train/loss,34100,2.954564332962036
LSTM,lstm-v2,train/loss,34200,2.983975648880005
LSTM,lstm-v2,train/loss,34300,3.074889659881592
LSTM,lstm-v2,train/loss,34400,2.994096279144287
LSTM,lstm-v2,train/loss,34500,3.2550277709960938
LSTM,lstm-v2,train/loss,34600,3.1196365356445312
LSTM,lstm-v2,train/loss,34700,2.976278781890869
LSTM,lstm-v2,train/loss,34800,2.9850988388061523
LSTM,lstm-v2,train/loss,34900,3.1656293869018555
LSTM,lstm-v2,train/loss,35000,2.865802764892578
LSTM,lstm-v2,train/loss,35100,2.9230456352233887
LSTM,lstm-v2,train/loss,35200,2.980088472366333
LSTM,lstm-v2,train/loss,35300,2.9534292221069336
LSTM,lstm-v2,train/loss,35400,2.9699997901916504
LSTM,lstm-v2,train/loss,35500,2.965503692626953
LSTM,lstm-v2,train/loss,35600,3.0299782752990723
LSTM,lstm-v2,train/loss,35700,2.932687759399414
LSTM,lstm-v2,train/loss,35800,3.155043840408325
LSTM,lstm-v2,train/loss,35900,3.003667116165161
LSTM,lstm-v2,train/loss,36000,3.0018343925476074
LSTM,lstm-v2,train/loss,36100,3.0310957431793213
LSTM,lstm-v2,train/loss,36200,2.9416027069091797
LSTM,lstm-v2,train/loss,36300,2.974170207977295
LSTM,lstm-v2,train/loss,36400,2.814732313156128
LSTM,lstm-v2,train/loss,36500,2.8250417709350586
LSTM,lstm-v2,train/loss,36600,2.80791974067688
LSTM,lstm-v2,train/loss,36700,3.012880325317383
LSTM,lstm-v2,train/loss,36800,3.1511998176574707
LSTM,lstm-v2,train/loss,36900,2.8214197158813477
LSTM,lstm-v2,train/loss,37000,3.029188871383667
LSTM,lstm-v2,train/loss,37100,2.879746913909912
LSTM,lstm-v2,train/loss,37200,2.7294163703918457
LSTM,lstm-v2,train/loss,37300,3.0589966773986816
LSTM,lstm-v2,train/loss,37400,2.9821016788482666
LSTM,lstm-v2,train/loss,37500,2.9353301525115967
LSTM,lstm-v2,train/loss,37600,2.990058422088623
LSTM,lstm-v2,train/loss,37700,2.880657196044922
LSTM,lstm-v2,train/loss,37800,2.8985395431518555
LSTM,lstm-v2,train/loss,37900,2.922499179840088
LSTM,lstm-v2,train/loss,38000,3.0256643295288086
LSTM,lstm-v2,train/loss,38100,2.8213062286376953
LSTM,lstm-v2,train/loss,38200,3.0616390705108643
LSTM,lstm-v2,train/loss,38300,3.061765193939209
LSTM,lstm-v2,train/loss,38400,2.76102352142334
LSTM,lstm-v2,train/loss,38500,2.99922513961792
LSTM,lstm-v2,train/loss,38600,2.9605977535247803
LSTM,lstm-v2,train/loss,38700,2.9620754718780518
LSTM,lstm-v2,train/loss,38800,2.988845109939575
LSTM,lstm-v2,train/loss,38900,3.008981227874756
LSTM,lstm-v2,train/loss,39000,2.7941036224365234
LSTM,lstm-v2,train/loss,39100,2.797234535217285
LSTM,lstm-v2,train/loss,39200,2.7112133502960205
LSTM,lstm-v2,train/loss,39300,2.8153669834136963
LSTM,lstm-v2,train/loss,39400,3.1510677337646484
LSTM,lstm-v2,train/loss,39500,2.9576077461242676
LSTM,lstm-v2,train/loss,39600,2.944878101348877
LSTM,lstm-v2,train/loss,39700,2.857039451599121
LSTM,lstm-v2,train/loss,39800,2.9102423191070557
LSTM,lstm-v2,train/loss,39900,2.8109471797943115
LSTM,lstm-v2,train/loss,40000,2.9350476264953613
LSTM,lstm-v2,train/loss,40100,2.942485809326172
LSTM,lstm-v2,train/loss,40200,2.8197195529937744
LSTM,lstm-v2,train/loss,40300,2.834961414337158
LSTM,lstm-v2,train/loss,40400,2.904391288757324
LSTM,lstm-v2,train/loss,40500,2.959148406982422
LSTM,lstm-v2,train/loss,40600,2.9366416931152344
LSTM,lstm-v2,train/loss,40700,2.8177688121795654
LSTM,lstm-v2,train/loss,40800,2.840481758117676
LSTM,lstm-v2,train/loss,40900,2.9566028118133545
LSTM,lstm-v2,train/loss,41000,2.940368175506592
LSTM,lstm-v2,train/loss,41100,2.946584463119507
LSTM,lstm-v2,train/loss,41200,2.7330503463745117
LSTM,lstm-v2,train/loss,41300,2.9636664390563965
LSTM,lstm-v2,train/loss,41400,2.8762869834899902
LSTM,lstm-v2,train/loss,41500,2.9337449073791504
LSTM,lstm-v2,train/loss,41600,2.974046230316162
LSTM,lstm-v2,train/loss,41700,2.9222605228424072
LSTM,lstm-v2,train/loss,41800,2.9428231716156006
LSTM,lstm-v2,train/loss,41900,2.791049003601074
LSTM,lstm-v2,train/loss,42000,2.9007482528686523
LSTM,lstm-v2,train/loss,42100,2.88517427444458
LSTM,lstm-v2,train/loss,42200,2.811081886291504
LSTM,lstm-v2,train/loss,42300,2.8371448516845703
LSTM,lstm-v2,train/loss,42400,3.066701650619507
LSTM,lstm-v2,train/loss,42500,2.8995299339294434
LSTM,lstm-v2,train/loss,42600,2.6775903701782227
LSTM,lstm-v2,train/loss,42700,2.941349506378174
LSTM,lstm-v2,train/loss,42800,2.8286423683166504
